Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles
TM195,18,Male,14,Single,3,4,29562,82
TM195,19,Male,15,Single,2,3,31836,75
TM195,19,Female,14,Partnered,4,3,30699,66
TM195,19,Male,12,Single,3,3,32973,85
TM195,20,Male,13,Partnered,4,2,35247,47
TM195,20,Female,14,Partnered,3,3,32973,66
TM195,21,Female,14,Partnered,3,3,35247,75
TM195,21,Male,13,Single,3,3,32973,85
TM195,21,Male,15,Single,5,4,35247,141
TM498,25,Male,14,Partnered,3,3,48891,85
TM498,25,Female,14,Partnered,3,3,47754,66
TM498,26,Female,16,Partnered,4,3,52302,103
TM798,26,Male,18,Single,5,5,90954,282
TM798,27,Male,16,Partnered,4,5,90954,188
TM798,30,Male,16,Partnered,5,5,95508,188
